,subsample,booster,gamma,nrounds,colsample_bylevel,eta,lambda,num.impute.selected.cpo,colsample_bytree,alpha,max_depth,min_child_weight,trainsize,repl,start_time,end_time,metric:acc [0.0; 1.0] (maximize),skip_drop,rate_drop,seed,status,config_id
256,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8533.33333333331,8566.666666666644,0.9764569,0.5,0.5,0,success,256
257,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8566.666666666644,8599.999999999978,0.9764569,0.5,0.5,0,success,257
258,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8599.999999999978,8633.333333333312,0.9764569,0.5,0.5,0,success,258
259,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8633.333333333312,8666.666666666646,0.9764569,0.5,0.5,0,success,259
260,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8666.666666666646,8699.99999999998,0.9764569,0.5,0.5,0,success,260
261,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8699.99999999998,8733.333333333314,0.9764569,0.5,0.5,0,success,261
262,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8733.333333333314,8766.666666666648,0.9764569,0.5,0.5,0,success,262
263,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8766.666666666648,8799.999999999982,0.9764569,0.5,0.5,0,success,263
264,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8799.999999999982,8833.333333333316,0.9764569,0.5,0.5,0,success,264
265,0.9008787372730335,gbtree,4.889291524043385e-05,551,0.6798384186121338,0.09056478296277694,13.788156959789566,impute.mean,0.5904015689082983,0.004579824241087513,15.0,2.7909836463749693,1.0,10,8833.333333333316,8866.66666666665,0.9764569,0.5,0.5,0,success,265
