,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_8,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_8,epoch,start_time,end_time,metric:val_accuracy [0.0; 100.0] (maximize),NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_13,seed,status,config_id,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_9
20,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,sep_conv_5x5,98,1960.0,2058.0,93.19395,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,20,max_pool_3x3,max_pool_3x3,max_pool_3x3
21,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,skip_connect,skip_connect,max_pool_3x3,avg_pool_3x3,max_pool_3x3,avg_pool_3x3,98,2058.0,2156.0,92.90909,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,21,max_pool_3x3,max_pool_3x3,max_pool_3x3
22,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,2_4,0_2,0_3,1_2,skip_connect,sep_conv_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,skip_connect,sep_conv_5x5,dil_conv_5x5,sep_conv_3x3,sep_conv_5x5,skip_connect,sep_conv_3x3,98,2156.0,2254.0,91.65951,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,22,max_pool_3x3,max_pool_3x3,max_pool_3x3
23,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,sep_conv_5x5,98,2254.0,2352.0,93.18273,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,skip_connect,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,23,max_pool_3x3,max_pool_3x3,max_pool_3x3
24,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,skip_connect,skip_connect,max_pool_3x3,sep_conv_5x5,max_pool_3x3,dil_conv_3x3,98,2352.0,2450.0,93.17265,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,dil_conv_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,24,max_pool_3x3,max_pool_3x3,max_pool_3x3
25,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,avg_pool_3x3,sep_conv_5x5,skip_connect,max_pool_3x3,dil_conv_5x5,max_pool_3x3,dil_conv_3x3,max_pool_3x3,98,2450.0,2548.0,91.40647,sep_conv_5x5,dil_conv_3x3,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,25,max_pool_3x3,max_pool_3x3,max_pool_3x3
26,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_5x5,avg_pool_3x3,skip_connect,max_pool_3x3,skip_connect,max_pool_3x3,sep_conv_3x3,98,2548.0,2646.0,93.27252,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,26,max_pool_3x3,max_pool_3x3,max_pool_3x3
27,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,dil_conv_3x3,skip_connect,max_pool_3x3,dil_conv_5x5,max_pool_3x3,sep_conv_5x5,98,2646.0,2744.0,93.113365,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,dil_conv_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,27,max_pool_3x3,max_pool_3x3,max_pool_3x3
28,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,98,2744.0,2842.0,93.150925,max_pool_3x3,max_pool_3x3,avg_pool_3x3,skip_connect,sep_conv_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,28,max_pool_3x3,max_pool_3x3,max_pool_3x3
29,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_3x3,sep_conv_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,98,2842.0,2940.0,92.99381,max_pool_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,avg_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,29,max_pool_3x3,max_pool_3x3,max_pool_3x3
30,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,2_4,0_2,0_3,1_2,skip_connect,sep_conv_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,sep_conv_5x5,dil_conv_3x3,dil_conv_3x3,sep_conv_3x3,dil_conv_5x5,dil_conv_5x5,98,2940.0,3038.0,91.634514,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,30,max_pool_3x3,max_pool_3x3,max_pool_3x3
31,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,sep_conv_5x5,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,98,3038.0,3136.0,92.94306,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,31,max_pool_3x3,max_pool_3x3,max_pool_3x3
32,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,dil_conv_3x3,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,skip_connect,dil_conv_5x5,sep_conv_5x5,max_pool_3x3,98,3136.0,3234.0,92.13004,sep_conv_5x5,avg_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,32,max_pool_3x3,max_pool_3x3,max_pool_3x3
