,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,trainsize,repl,start_time,end_time,metric:acc [0.0; 1.0] (maximize),seed,status,config_id
246,0.0009118819655545162,dart,1096.6331584284585,2981,impute.median,1.0,1.0,1.0,1.0,4.5399929762484854e-05,1,2.718281828459045,0.0,1.0,1.0,10,8199.99999999997,8233.333333333305,0.9983648,1234,success,246
247,1096.6331584284585,dart,0.0009118819655545162,7,impute.hist,1.0,1.0,0.01,1.0,7.38905609893065,1,2.718281828459045,1.0,0.0,1.0,10,8233.333333333305,8266.666666666639,0.10098708,1234,success,247
248,1096.6331584284585,dart,0.0009118819655545162,2981,impute.hist,0.1,0.01,0.01,1.0,7.38905609893065,1,2.718281828459045,1.0,1.0,1.0,10,8266.666666666639,8299.999999999973,0.25332665,1234,success,248
249,0.0009118819655545162,dart,1096.6331584284585,7,impute.mean,1.0,0.01,0.01,1.0,7.38905609893065,15,2.718281828459045,1.0,1.0,1.0,10,8299.999999999973,8333.333333333307,0.36640748,1234,success,249
250,0.0009118819655545162,dart,1096.6331584284585,7,impute.median,0.1,0.01,1.0,1.0,7.38905609893065,15,2.718281828459045,1.0,1.0,1.0,10,8333.333333333307,8366.66666666664,0.0849312,1234,success,250
251,0.0009118819655545162,gbtree,0.0009118819655545162,2981,impute.hist,0.1,0.01,0.01,1.0,7.38905609893065,15,2.718281828459045,0.5,0.5,1.0,10,8366.66666666664,8399.999999999975,0.6341395,1234,success,251
252,1096.6331584284585,dart,1096.6331584284585,2981,impute.median,1.0,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,1,2.718281828459045,1.0,0.0,1.0,10,8399.999999999975,8433.333333333308,0.5236685,1234,success,252
253,1096.6331584284585,dart,0.0009118819655545162,7,impute.mean,1.0,0.01,1.0,1.0,7.38905609893065,15,2.718281828459045,0.0,0.0,1.0,10,8433.333333333308,8466.666666666642,0.100042686,1234,success,253
254,0.0009118819655545162,gbtree,1096.6331584284585,2981,impute.mean,0.1,1.0,0.01,1.0,7.38905609893065,1,2.718281828459045,0.5,0.5,1.0,10,8466.666666666642,8499.999999999976,0.082703084,1234,success,254
255,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,1.0,0.01,0.01,0.0009118819655545162,4.5399929762484854e-05,1,148.4131591025766,0.0,0.0,1.0,10,8499.999999999976,8533.33333333331,0.10650727,1234,success,255
256,1096.6331584284585,dart,0.0009118819655545162,7,impute.mean,1.0,0.01,1.0,1.0,4.5399929762484854e-05,1,148.4131591025766,1.0,0.0,1.0,10,8533.33333333331,8566.666666666644,0.088148035,1234,success,256
257,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,15,2.718281828459045,1.0,0.0,1.0,10,8566.666666666644,8599.999999999978,0.09679192,1234,success,257
258,0.0009118819655545162,gbtree,1096.6331584284585,2981,impute.mean,1.0,1.0,0.01,1.0,7.38905609893065,15,148.4131591025766,0.5,0.5,1.0,10,8599.999999999978,8633.333333333312,0.17554288,1234,success,258
259,0.0009118819655545162,dart,1096.6331584284585,7,impute.hist,1.0,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,1,2.718281828459045,1.0,0.0,1.0,10,8633.333333333312,8666.666666666646,0.19983336,1234,success,259
260,1096.6331584284585,gbtree,1096.6331584284585,2981,impute.hist,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1,148.4131591025766,0.5,0.5,1.0,10,8666.666666666646,8699.99999999998,0.08861718,1234,success,260
261,1096.6331584284585,gbtree,0.0009118819655545162,2981,impute.median,0.1,1.0,1.0,0.0009118819655545162,4.5399929762484854e-05,1,2.718281828459045,0.5,0.5,1.0,10,8699.99999999998,8733.333333333314,0.09228273,1234,success,261
262,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15,148.4131591025766,0.0,0.0,1.0,10,8733.333333333314,8766.666666666648,0.10787832,1234,success,262
263,0.0009118819655545162,dart,1096.6331584284585,2981,impute.hist,1.0,0.01,1.0,1.0,7.38905609893065,15,2.718281828459045,1.0,1.0,1.0,10,8766.666666666648,8799.999999999982,0.53542376,1234,success,263
264,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,0.1,0.01,1.0,1.0,7.38905609893065,15,2.718281828459045,0.0,1.0,1.0,10,8799.999999999982,8833.333333333316,0.075299285,1234,success,264
265,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,1.0,0.01,0.0009118819655545162,7.38905609893065,15,148.4131591025766,1.0,1.0,1.0,10,8833.333333333316,8866.66666666665,0.075123124,1234,success,265
266,1096.6331584284585,dart,1096.6331584284585,7,impute.hist,0.1,1.0,0.01,1.0,4.5399929762484854e-05,1,2.718281828459045,1.0,0.0,1.0,10,8866.66666666665,8899.999999999984,0.11153247,1234,success,266
267,1096.6331584284585,dart,0.0009118819655545162,7,impute.hist,1.0,1.0,0.01,1.0,7.38905609893065,1,148.4131591025766,1.0,1.0,1.0,10,8899.999999999984,8933.333333333318,0.091667846,1234,success,267
268,0.0009118819655545162,gbtree,1096.6331584284585,2981,impute.mean,1.0,1.0,0.01,1.0,4.5399929762484854e-05,15,2.718281828459045,0.5,0.5,1.0,10,8933.333333333318,8966.666666666652,0.9401014,1234,success,268
269,1096.6331584284585,gbtree,0.0009118819655545162,2981,impute.mean,0.1,0.01,1.0,0.0009118819655545162,7.38905609893065,1,2.718281828459045,0.5,0.5,1.0,10,8966.666666666652,8999.999999999985,0.10029507,1234,success,269
270,0.0009118819655545162,gbtree,1096.6331584284585,7,impute.mean,0.1,1.0,1.0,0.0009118819655545162,7.38905609893065,15,148.4131591025766,0.5,0.5,1.0,10,8999.999999999985,9033.33333333332,0.09184075,1234,success,270
271,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.mean,1.0,0.01,0.01,1.0,4.5399929762484854e-05,1,2.718281828459045,1.0,0.0,1.0,10,9033.33333333332,9066.666666666653,1.0,1234,success,271
272,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,1.0,0.01,0.0009118819655545162,7.38905609893065,1,148.4131591025766,1.0,0.0,1.0,10,9066.666666666653,9099.999999999987,0.08064132,1234,success,272
273,0.0009118819655545162,dart,0.0009118819655545162,7,impute.median,1.0,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,1,148.4131591025766,0.0,1.0,1.0,10,9099.999999999987,9133.333333333321,0.6215314,1234,success,273
274,1096.6331584284585,dart,1096.6331584284585,7,impute.mean,0.1,1.0,0.01,0.0009118819655545162,4.5399929762484854e-05,15,148.4131591025766,0.0,1.0,1.0,10,9133.333333333321,9166.666666666655,0.10083791,1234,success,274
275,0.0009118819655545162,dart,0.0009118819655545162,2981,impute.median,0.1,0.01,1.0,0.0009118819655545162,4.5399929762484854e-05,15,148.4131591025766,0.0,1.0,1.0,10,9166.666666666655,9199.999999999989,0.10365894,1234,success,275
