,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_8,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_8,epoch,start_time,end_time,metric:val_accuracy [0.0; 100.0] (maximize),NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_11,seed,status,config_id
5,avg_pool_3x3,1_2,dil_conv_3x3,0_3,3_4,max_pool_3x3,0_2,1_2,dil_conv_5x5,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,0_1,sep_conv_5x5,max_pool_3x3,dil_conv_3x3,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,98,490.0,588.0,92.722595,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,avg_pool_3x3,2025,success,5
6,dil_conv_5x5,2_3,avg_pool_3x3,1_3,3_4,dil_conv_3x3,0_2,2_3,dil_conv_3x3,sep_conv_5x5,avg_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,0_2,sep_conv_5x5,max_pool_3x3,max_pool_3x3,skip_connect,skip_connect,max_pool_3x3,sep_conv_3x3,98,588.0,686.0,92.39883,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,avg_pool_3x3,2025,success,6
7,dil_conv_5x5,0_1,skip_connect,2_3,2_4,max_pool_3x3,0_2,1_2,sep_conv_3x3,skip_connect,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,0_1,max_pool_3x3,max_pool_3x3,avg_pool_3x3,dil_conv_5x5,dil_conv_3x3,max_pool_3x3,max_pool_3x3,98,686.0,784.0,92.604485,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,sep_conv_5x5,max_pool_3x3,max_pool_3x3,2025,success,7
8,avg_pool_3x3,0_4,sep_conv_5x5,0_3,1_4,max_pool_3x3,0_2,1_2,max_pool_3x3,skip_connect,max_pool_3x3,avg_pool_3x3,sep_conv_3x3,sep_conv_3x3,1_2,skip_connect,sep_conv_3x3,sep_conv_5x5,skip_connect,dil_conv_3x3,max_pool_3x3,max_pool_3x3,98,784.0,882.0,93.56813,dil_conv_5x5,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,max_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,8
9,skip_connect,0_1,sep_conv_3x3,2_3,1_3,max_pool_3x3,0_2,0_3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0_2,skip_connect,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,98,882.0,980.0,92.84163,max_pool_3x3,max_pool_3x3,avg_pool_3x3,sep_conv_3x3,skip_connect,dil_conv_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,9
10,avg_pool_3x3,0_3,dil_conv_5x5,0_3,0_4,max_pool_3x3,0_2,1_3,skip_connect,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,avg_pool_3x3,0_2,sep_conv_3x3,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,sep_conv_5x5,sep_conv_3x3,98,980.0,1078.0,91.65755,avg_pool_3x3,dil_conv_5x5,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,10
11,dil_conv_5x5,0_1,dil_conv_5x5,0_1,0_3,sep_conv_5x5,0_2,1_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,1_2,max_pool_3x3,max_pool_3x3,sep_conv_3x3,skip_connect,sep_conv_5x5,max_pool_3x3,sep_conv_3x3,98,1078.0,1176.0,93.11384,dil_conv_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,sep_conv_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,11
12,sep_conv_5x5,3_4,sep_conv_3x3,0_2,0_4,max_pool_3x3,0_2,0_3,max_pool_3x3,avg_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,skip_connect,0_2,dil_conv_5x5,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_5x5,dil_conv_5x5,avg_pool_3x3,98,1176.0,1274.0,92.38199,sep_conv_3x3,avg_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,2025,success,12
13,sep_conv_3x3,0_3,avg_pool_3x3,2_3,2_3,max_pool_3x3,0_2,0_2,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,0_2,dil_conv_5x5,max_pool_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_3x3,avg_pool_3x3,max_pool_3x3,98,1274.0,1372.0,92.12055,max_pool_3x3,max_pool_3x3,avg_pool_3x3,skip_connect,max_pool_3x3,sep_conv_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,sep_conv_5x5,max_pool_3x3,max_pool_3x3,2025,success,13
14,dil_conv_3x3,0_2,sep_conv_5x5,0_2,1_3,max_pool_3x3,0_2,0_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0_1,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,sep_conv_5x5,dil_conv_3x3,avg_pool_3x3,sep_conv_3x3,98,1372.0,1470.0,92.73978,avg_pool_3x3,max_pool_3x3,skip_connect,dil_conv_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,dil_conv_3x3,2025,success,14
